"id","code","name"
1656,C29291,"고무, 화학섬유 및 플라스틱 성형기 제조업"
1657,C29292,인쇄 및 제책용 기계 제조업
1658,C29293,주형 및 금형 제조업
1659,C29299,그 외 기타 특수목적용 기계 제조업
1660,C30110,자동차용 엔진 제조업
1661,C30121,내연기관 승용차 및 기타 여객용 자동차 제조업
1662,C30122,전기 승용차 및 기타 여객용 전기 자동차 제조업
1663,C30123,내연기관 화물자동차 및 특수목적용 자동차 제조업
1664,C30124,전기 화물 자동차 및 특수 목적용 전기 자동차 제조업
1665,C30201,차체 및 특장차 제조업
1666,C30202,자동차 구조 및 장치 변경업 
1667,C30203,트레일러 및 세미트레일러 제조업
1668,C30310,자동차 엔진용 신품 부품 제조업
1669,C30320,자동차 차체용 신품 부품 제조업
1670,C30331,자동차용 신품 동력전달장치 제조업
1671,C30332,자동차용 신품 전기장치 제조업
1672,C30391,자동차용 신품 조향장치 및 현가 장치 제조업
1673,C30392,자동차용 신품 제동장치 제조업
1674,C30393,자동차용 신품 의자 제조업
1675,C30399,그 외 자동차용 신품 부품 제조업
1676,C30400,자동차 재제조 부품 제조업
1677,C31111,강선 건조업
1678,C31112,합성수지선 건조업
1679,C31113,기타 선박 건조업
1680,C31114,선박 구성 부분품 제조업
1681,C31120,오락 및 스포츠용 보트 건조업
1682,C31201,기관차 및 기타 철도차량 제조업
1683,C31202,철도차량 부품 및 관련 장치물 제조업
1684,C31311,"유인 항공기, 항공우주선 및 보조장치 제조업"
1685,C31312,무인 항공기 및 무인 비행장치 제조업
1686,C31321,항공기용 엔진 제조업
1687,C31322,항공기용 부품 제조업
1688,C31910,전투용 차량 제조업
1689,C31921,모터사이클 제조업
1690,C31922,개인용 전기식 이동수단 제조업
1691,C31991,자전거 및 환자용 차량 제조업
1692,C31999,그 외 기타 달리 분류되지 않은 운송장비 제조업
1693,C32011,매트리스 및 침대 제조업
1694,C32019,소파 및 기타 내장가구 제조업
1695,C32021,주방용 및 음식점용 목재가구 제조업
1696,C32029,기타 목재가구 제조업
1697,C32091,금속 가구 제조업
1698,C32099,그 외 기타 가구 제조업
1699,C33110,귀금속 및 관련제품 제조업
1700,C33120,모조 귀금속 및 모조 장신용품 제조업
1701,C33201,건반 악기 제조업
1702,C33209,기타 악기 및 전자 악기 제조업
1703,C33301,"체조, 육상 및 체력단련용 장비 제조업"
1704,C33302,놀이터용 장비 제조업
1705,C33303,낚시 및 수렵용구 제조업
1706,C33309,기타 운동 및 경기용구 제조업
1707,C33401,인형 및 장난감 제조업
1708,C33402,영상게임기 제조업
1709,C33409,기타 오락용품 제조업
1710,C33910,간판 및 광고물 제조업
1711,C33920,사무 및 회화용품 제조업
1712,C33931,가발 및 유사 제품 제조업
1713,C33932,전시용 모형 제조업
1714,C33933,표구처리업
1715,C33991,단추 및 유사 파스너 제조업
1716,C33992,"라이터, 연소물 및 흡연용품 제조업"
1717,C33993,비 및 솔 제조업
1718,C33999,그 외 기타 달리 분류되지 않은 제품 제조업
1719,C34011,건설ㆍ광업용 기계 및 장비 수리업
1720,C34019,기타 일반 기계 및 장비 수리업
1721,C34020,전기ㆍ전자 및 정밀기기 수리업
1722,D35111,원자력 발전업
1723,D35112,수력 발전업
1724,D35113,화력 발전업
1725,D35114,태양력 발전업
1726,D35115,풍력 발전업
1727,D35119,기타 발전업
1728,D35120,송전 및 배전업
1729,D35130,전기 판매업
1730,D35200,연료용 가스 제조 및 배관공급업
1731,D35300,"증기, 냉ㆍ온수 및 공기조절 공급업"
1732,E36010,생활용수 공급업
1733,E36020,산업용수 공급업
1734,E37011,하수 처리업
1735,E37012,폐수 처리업
1736,E37021,사람 분뇨 처리업
1737,E37022,축산 분뇨 처리업
1738,E38110,"지정 외 폐기물 수집, 운반업"
1739,E38120,"지정 폐기물 수집, 운반업"
1740,E38130,"건설 폐기물 수집, 운반업"
1741,E38210,지정 외 폐기물 처리업
1742,E38220,지정 폐기물 처리업
1743,E38230,건설 폐기물 처리업
1744,E38240,"방사성 폐기물 수집, 운반 및 처리업"
1745,E38311,금속류 해체 및 선별업
1746,E38312,금속류 원료 재생업
1747,E38321,비금속류 해체 및 선별업
1748,E38322,비금속류 원료 재생업
1749,E39001,토양 및 지하수 정화업
1750,E39009,기타 환경 정화 및 복원업
1751,F41111,단독 주택 건설업
1752,F41112,아파트 건설업
1753,F41119,기타 공동 주택 건설업
1754,F41121,사무ㆍ상업용 및 공공기관용 건물 건설업
1755,F41122,제조업 및 유사 산업용 건물 건설업
1756,F41129,기타 비주거용 건물 건설업
1757,F41210,지반조성 건설업
1758,F41221,도로 건설업
1759,F41222,"교량, 터널 및 철도 건설업"
1760,F41223,"항만, 수로, 댐 및 유사 구조물 건설업"
1761,F41224,환경설비 건설업
1762,F41225,산업생산시설 종합건설업
1763,F41226,조경 건설업
1764,F41229,기타 토목시설물 건설업
1765,F42110,건물 및 구축물 해체 공사업
1766,F42121,토공사업
1767,F42122,"보링, 그라우팅 및 관정 공사업"
1768,F42123,파일공사 및 축조관련 기초 공사업
1769,F42129,기타 기반조성 관련 전문공사업
1770,F42131,철골 및 관련 구조물 공사업
1771,F42132,콘크리트 및 철근 공사업
1772,F42191,조적 및 석공사업
1773,F42192,포장 공사업
1774,F42193,철도궤도 전문공사업
1775,F42194,수중 공사업
1776,F42195,비계 및 형틀 공사업
1777,F42196,"지붕, 내ㆍ외벽 축조 관련 전문 공사업 "
1778,F42199,기타 옥외 시설물 축조 관련 전문공사업
1779,F42201,배관 및 냉ㆍ난방 공사업
1780,F42202,건물용 기계ㆍ장비 설치 공사업
1781,F42203,승강설비 설치 공사업
1782,F42204,"방음, 방진 및 내화 공사업"
1783,F42205,소방시설 공사업
1784,F42209,기타 건물 관련설비 설치 공사업
1785,F42311,일반전기 공사업
1786,F42312,내부 전기배선 공사업
1787,F42321,일반 통신 공사업
1788,F42322,내부 통신배선 공사업
1789,F42411,도장 공사업
1790,F42412,"도배, 실내장식 및 내장 목공사업"
1791,F42420,유리 및 창호 공사업
1792,F42491,"미장, 타일 및 방수 공사업"
1793,F42492,건물용 금속공작물 설치 공사업
1794,F42499,그 외 기타 건축 마무리 공사업
1795,F42500,시설물 유지관리 공사업
1796,F42600,건설장비 운영업
1797,G45110,자동차 신품 판매업
1798,G45120,중고 자동차 판매업
1799,G45211,자동차 신품 타이어 및 튜브 판매업
1800,G45212,자동차용 전용 신품 부품 판매업
1801,G45213,자동차 내장용 신품 전기ㆍ전자ㆍ정밀 기기판매업
1802,G45219,기타 자동차 신품 부품 및 내장품 판매업
1803,G45220,자동차 중고 부품 및 내장품 판매업
1804,G45301,모터사이클 및 부품 도매업
1805,G45302,모터사이클 및 부품 소매업
1806,G46101,"산업용 농ㆍ축산물, 섬유 원료 및 동물 중개업"
1807,G46102,음ㆍ식료품 및 담배 중개업
1808,G46103,"섬유, 의복, 신발 및 가죽제품 중개업"
1809,G46104,목재 및 건축자재 중개업
1810,G46105,"연료, 광물, 1차 금속, 비료 및 화학제품 중개업"
1811,G46106,기계 및 장비 중개업
1812,G46107,그 외 기타 특정 상품 중개업
1813,G46109,상품 종합 중개업
1814,G46201,곡물 및 유지작물 도매업
1815,G46202,종자 및 묘목 도매업
1816,G46203,사료 도매업
1817,G46204,화훼류 및 식물 도매업
